Index,Reference,Generated
777,heute nacht zehn grad in frankfurt am main drei grad im nordwesten dort kann es bodenfrost geben.,heute nacht zehn grad in frankfurt am main drei grad im nordwesten dort kann es bodenfrost geben.
778,am nachmittag bilden sich in der südwesthälfte quellwolken schauer und gewitter folgen örtlich mit hagel und starkregen.,am nachmittag bilden sich in der südwesthälfte quellwolken mit schauern und gewittern die örtlich unwetterpotenzial haben.
779,feuchte warme luft im süden kommt weiter bis in die mitte voran in ihr entstehen schauer und gewitter.,feuchte warme luft im süden kommt weiter bis in die mitte voran in ihr entstehen schauer und gewitter.
780,dort morgen sechzehn bis achtzehn grad im südwesten bis siebenundzwanzig grad.,dort morgen sechzehn bis achtzehn grad im südwesten bis siebenundzwanzig grad.
781,meist verdecken sie die sonne nur kurz.,hier und da zeigt sich auch mal die sonne.
782,auch am tag ist im süden und osten stellenweise regen möglich ganz im norden und nordwesten wolken sonst viel sonne sobald der nebel weg ist.,auch am tag ist im süden und osten stellenweise regen möglich ganz im norden und nordwesten wolken sonst viel sonne sobald der nebel weg ist.
783,im übrigen land mal wolkig mal freundlich und meist trocken.,im übrigen land mal wolkig mal freundlich und meist trocken.
784,und nun die wettervorhersage für morgen donnerstag den siebenten juli.,und nun die wettervorhersage für morgen donnerstag den siebenten juli.
785,richtung küsten hält sich allerdings hochnebelartige bewölkung und dort sowie in teilen schleswig holsteins kann es morgen den ganzen tag über trübe bleiben während im übrigen land wieder die sonne scheint.,richtung küsten hält sich allerdings hochnebelartige bewölkung und dort sowie in teilen schleswig holsteins kann es morgen den ganzen tag über trübe bleiben während im übrigen land wieder die sonne scheint.
786,an der ostsee morgen dreiundzwanzig im südwesten heiße dreißig bis zweiunddreißig grad.,an der ostsee morgen dreiundzwanzig im südwesten heiße dreißig bis zweiunddreißig grad.
787,und nun die wettervorhersage für morgen mittwoch den zweiten februar.,und nun die wettervorhersage für morgen mittwoch den zweiundzwanzigsten februar.
788,liebe zuschauer guten abend.,liebe zuschauer guten abend.
789,bei längerem aufklaren heute nacht örtlich zwei an der oder bis neun grad.,bei längerem aufklaren heute nacht örtlich zwei an der oder bis neun grad.
790,das bedeutet die nebelfelder werden sich wieder stärker auflösen.,es lässt die nebelfelder auf die lücken lassen.
791,wo es länger aufklart bildet sich örtlich nebel.,örtlich klart es auch auf vereinzelt bildet sich nebel.
792,das ganze läuft ja in diese kaltluft rein denn wir haben heute nacht noch verbreitet frost im süden und südosten sogar noch zweistellige minusgrade.,das ganze läuft ja in diese kaltluft rein denn wir haben heute nacht noch verbreitet frost im süden und südosten sogar noch zweistellige minusgrade.
793,heute nacht vierzehn bis sechs grad im süden bis vier grad.,heute nacht vierzehn bis sechs grad im süden bis vier grad.
794,ansonsten der schneefall lässt langsam nach am alpenrand und es wird nebelfelder geben zum teil bei frost am alpenrand über dem schnee bis minus fünf grad.,es schneit und dann ab und zu auch mit regen es wird nasskalt in dieser nacht zum teil mit frost am alpenrand bis minus fünf grad.
795,in den nordwesten deutschlands strömt in den kommenden tagen mäßig warme luft in die übrigen landesteile warme luft.,in den nordwesten deutschlands strömt mäßig warme luft in die übrigen landesteile warme luft.
796,am donnerstag überwiegen in der südosthälfte die wolken und es fallen stellenweise schauer.,am donnerstag sind in der südosthälfte die wolken dichter vereinzelt fallen schauer.
797,nur in den östlichen landesteilen zeigt sich die sonne auch mal häufiger.,nur in den östlichen landesteilen zeigt sich die sonne auch mal häufiger.
798,und damit schönen guten abend.,und damit schönen guten abend.
799,in der früh regnet es im nordwesten hier und da tagsüber über dem norden dichte wolken.,am tag breiten sich die regenfälle über die nordwesthälfte aus.
800,am tag null grad bei dauernebel im südosten und zwölf grad am niederrhein.,am tag null grad bei dauernebel im südosten und zwölf grad am niederrhein.
801,und nun die wettervorhersage für morgen mittwoch den siebenundzwanzigsten oktober.,und nun die wettervorhersage für morgen mittwoch den siebenundzwanzigsten oktober.
802,in der nordosthälfte morgen neben sonne auch dichtere wolken im westen meist ungetrübter sonnenschein zwischen brandenburg und alpen können sich später ein paar schauer oder gewitter entwickeln.,im nordosten und osten tauchen morgen viele wolken auf sonst ist es verbreitet wolkig vor allem in der südhälfte gibt es später kräftige schauer und gewitter.
803,am montag sonne und wolken im süden auch gewitter.,am montag sonne und wolken im süden auch gewitter.
804,ansonsten vielleicht ein paar sonnenstrahlen zwischen dem emsland und dem östlichen bayern.,es muss mit glätte gerechnet werden.
805,das heißt es gibt viel sonnenschein trockenes wetter.,es gibt mehr sonnenschein und trockenes wetter in den nächsten tagen.
806,im bergland rieselt schnee hier und da zeigt sich auch mal die sonne.,im bergland rieselt schnee hier und da zeigt sich auch mal die sonne.
807,im nordwesten an die null grad und dort fängt es morgen früh an zu schneien teilweise aber auch regen oder eisregen dabei.,im nordwesten an die null grad und dort fängt es morgen früh an zu schneien teilweise aber auch regen oder eisregen dabei.
808,bevor uns morgen nachmittag wieder ein neues atlantiktief mit seinen regenwolken erreicht erwartet uns erstmal eine recht freundliche und meist auch trockene mischung aus sonne und wolken.,ab morgen nachmittag lenken atlantische tiefausläufer von nordwesten regenwolken heran die es recht freundlich und meist auch trocken bleibt.
809,ihnen noch einen schönen abend und machen sie es gut.,ihnen einen schönen abend und machen sie es gut.
810,im norden fällt heute nacht verbreitet regen im süden gibt es nur wenige wolken sodass sich mond und sterne auch längere zeit blicken lassen.,im norden fällt heute nacht verbreitet regen im süden gibt es nur wenige wolken sodass sich mond und sterne auch längere zeit blicken lassen.
811,und wir bräuchten eine stabile wetterlage um sagen zu können der sommer wird schön.,und wir bräuchten eine stabile wetterlage um sagen zu können der sommer wird schön.
812,heute nacht neun bis drei grad bei längerem aufklaren nahe null grad.,heute nacht neun bis drei grad bei längerem aufklaren nahe null grad.
813,in der nacht klart es gebietsweise auf in der nordhälfte kommt später jedoch von der nordsee verbreitet kräftiger regen auf.,in der nacht klart es gebietsweise auf in der nordhälfte kommt später jedoch von der nordsee verbreitet kräftiger regen auf.
814,und die nacht wird kühl dort wo es aufklart auf jeden fall unter zehn grad.,die nacht wird kühl dort wo es aufklart auf jeden fall unter zehn grad.
815,am tag viel sonne im süden entwickeln sich vor allem über den bergen ein paar quellwolken auch an den küsten ist es ab und an wolkig.,am tag viel sonne im süden entwickeln sich vor allem über den bergen ein paar quellwolken auch an den küsten ist es ab und an wolkig.
816,zunehmend beeinflussen tiefs unser wetter.,das tief das nach großbritannien zieht bestimmt morgen unser wetter.
817,und so erwartet uns morgen ein meist freundlicher sommertag bevor am freitag ein atlantischer tiefausläufer wieder für zum teil unwetterartige gewitter sorgt.,die neue woche beginnt verbreitet ruhig bevor am freitag ein atlantischer tiefausläufer wieder für zum teil unwetterartige gewitter sorgt.
818,im übrigen land ist es meist stark bewölkt gebietsweise regnet es mitunter kräftig.,im nordosten ist es ab und an stark bewölkt gebietsweise regnet es mitunter kräftig.
819,am sonntag erst sonne und wolken später beginnt es im westen zu regnen.,am sonntag erst sonne und wolken später beginnt es im westen zu regnen.
820,die meisten sonnenstunden gibt es im südwesten.,die meisten sonnenstunden gibt es im südwesten.
821,und nun die wettervorhersage für morgen mittwoch den ersten juli.,und nun die wettervorhersage für morgen mittwoch den ersten juli.
822,es wird vor allem im norden windig und regnerisch.,es wird vor allem im norden windig und regnerisch.
823,etliche schneeschauer sind unterwegs und ziehen weiter hier im westen richtung schwarzwald und alpen auch im erzgebirge wird es immer noch ein bisschen schneien.,es schneit und schneit weiter vor allen dingen von westen bis zum erzgebirge und zum erzgebirge kann es auch teilweise noch schneien.
824,am tag wechseln sonne und wolken einander ab im osten und süden ist es auch für längere zeit freundlich.,am tag wechseln sonne und wolken einander ab im osten und süden ist es auch für längere zeit freundlich.
825,dort sind es dreißig grad.,und das wird eben vor allen dingen in der mitte deutschlands der fall sein.
826,in der nacht muss zunächst vor allem in den östlichen landesteilen stellenweise mit schauern und gewittern gerechnet werden.,in der nacht muss zunächst vor allem in den östlichen landesteilen stellenweise mit schauern und gewittern gerechnet werden.
827,von bayern bis nach brandenburg morgen noch kräftiger regen in den hochlagen der alpen starke schneefälle.,von bayern bis nach brandenburg morgen wieder kräftiger regen in den hochlagen der alpen starke schneefälle.
828,am samstag schneit es in weiten teilen des landes.,am samstag schneit es zeitweise.
829,und nun die wettervorhersage für morgen freitag den siebenundzwanzigsten mai.,und nun die wettervorhersage für morgen freitag den siebenundzwanzigsten mai.
830,es wird morgen mal wieder ein meist sonniger tag.,morgen wird es wieder verbreitet sonnig.
831,am sonntag ist es insgesamt schon wieder unbeständiger.,am sonntag ist es insgesamt schon wieder unbeständiger.
832,eine tiefdruckzone die vom atlantik bis nach mitteleuropa reicht bestimmt auch am mittwoch unser wetter.,das tief das sich von der nordsee bis nach mitteleuropa erstreckt bestimmt in der nacht und auch am mittwoch unser wetter.
833,am dienstag ist es teilweise dichter bewölkt hier und da fallen regenschauer mitunter sind gewitter dabei.,am dienstag ist es teilweise dichter bewölkt hier und da fallen regenschauer mitunter sind gewitter dabei.
834,heute nacht bleibt es meist wolkenverhangen oder neblig trüb im osten und südosten fällt örtlich etwas schnee oder regen.,heute nacht ist es meist stark bewölkt oder neblig trüb im osten und südosten fällt gebietsweise leichter schneefall oder gefrierender regen.
835,heute nacht neunzehn grad am oberrhein und vierzehn grad an den alpen.,heute nacht neunzehn grad am oberrhein und vierzehn grad an den alpen.
836,an der nordsee morgen sechs am oberrhein sehr milde fünfzehn grad.,am tag sechs grad im norden und fünfzehn grad am oberrhein.
837,morgen früh da sind es elf bis sechzehn grad.,morgen früh sind es elf bis sechzehn grad.
838,im norden gab es heute viel sonne aber es war auch ziemlich eisig.,auch an der ostsee gab es heute viel sonnenschein aber es war auch ziemlich eisig.
839,es wird nicht mehr so sonnig der anfang heute im norden schon gemacht sie haben es auch gehört in griechenland hat es geschneit.,die wetterlage bleibt stabil aber in den nächsten tagen wird es von norden her ein bisschen schneien vor allen dingen an der nordsee das heißt es fällt schnee oder schneeregen.
